"groupA","interactPositionA","interactionA","groupB","interactPositionB","interactionB","strength","opacity","timepoint"
7,12,"EGFR_TGFB1",14,12,"EGFR_TGFB1",0.322,0.176341730558598,2
7,12,"EGFR_TGFB1",16,12,"EGFR_TGFB1",0.673,0.368565169769989,2
7,12,"EGFR_TGFB1",17,12,"EGFR_TGFB1",0.4,0.219058050383352,2
7,22,"SEMA4D_PLXNB1",6,22,"SEMA4D_PLXNB1",0.163,0.0892661555312158,2
7,22,"SEMA4D_PLXNB1",7,22,"SEMA4D_PLXNB1",0.226,0.123767798466594,2
7,22,"SEMA4D_PLXNB1",9,22,"SEMA4D_PLXNB1",0.151,0.0826944140197152,2
7,22,"SEMA4D_PLXNB1",12,22,"SEMA4D_PLXNB1",0.173,0.0947426067907996,2
7,22,"SEMA4D_PLXNB1",14,22,"SEMA4D_PLXNB1",0.192,0.105147864184009,2
7,78,"TGFbeta receptor1_TGFB1",3,78,"TGFbeta receptor1_TGFB1",0.532,0.291347207009858,2
7,78,"TGFbeta receptor1_TGFB1",5,78,"TGFbeta receptor1_TGFB1",0.645,0.353231106243154,2
7,78,"TGFbeta receptor1_TGFB1",6,78,"TGFbeta receptor1_TGFB1",0.296,0.16210295728368,2
7,78,"TGFbeta receptor1_TGFB1",11,78,"TGFbeta receptor1_TGFB1",0.395,0.21631982475356,2
7,78,"TGFbeta receptor1_TGFB1",14,78,"TGFbeta receptor1_TGFB1",0.461,0.252464403066813,2
7,78,"TGFbeta receptor1_TGFB1",16,78,"TGFbeta receptor1_TGFB1",0.813,0.445235487404162,2
7,78,"TGFbeta receptor1_TGFB1",17,78,"TGFbeta receptor1_TGFB1",0.54,0.295728368017525,2
7,79,"HBEGF_EGFR",1,79,"HBEGF_EGFR",0.342,0.187294633077766,2
7,79,"HBEGF_EGFR",2,79,"HBEGF_EGFR",0.331,0.181270536692223,2
7,79,"HBEGF_EGFR",4,79,"HBEGF_EGFR",0.329,0.180175246440307,2
7,79,"HBEGF_EGFR",7,79,"HBEGF_EGFR",0.333,0.18236582694414,2
7,79,"HBEGF_EGFR",13,79,"HBEGF_EGFR",0.304,0.166484118291347,2
7,13,"GRN_TNFRSF1B",3,13,"GRN_TNFRSF1B",0.406,0.222343921139102,2
7,13,"GRN_TNFRSF1B",15,13,"GRN_TNFRSF1B",0.593,0.324753559693319,2
7,13,"GRN_TNFRSF1B",17,13,"GRN_TNFRSF1B",0.63,0.345016429353779,2
7,14,"a6b1 complex_LAMC1",5,14,"a6b1 complex_LAMC1",0.311,0.170317634173056,2
7,14,"a6b1 complex_LAMC1",7,14,"a6b1 complex_LAMC1",0.313,0.171412924424973,2
7,14,"a6b1 complex_LAMC1",12,14,"a6b1 complex_LAMC1",0.286,0.156626506024096,2
7,14,"a6b1 complex_LAMC1",16,14,"a6b1 complex_LAMC1",0.337,0.184556407447974,2
7,15,"SPP1_CD44",3,15,"SPP1_CD44",1.138,0.623220153340635,2
7,15,"SPP1_CD44",6,15,"SPP1_CD44",0.897,0.491237677984666,2
7,15,"SPP1_CD44",11,15,"SPP1_CD44",0.99,0.542168674698795,2
7,15,"SPP1_CD44",14,15,"SPP1_CD44",0.937,0.513143483023001,2
7,15,"SPP1_CD44",15,15,"SPP1_CD44",1.288,0.705366922234392,2
7,15,"SPP1_CD44",16,15,"SPP1_CD44",0.987,0.54052573932092,2
7,15,"SPP1_CD44",17,15,"SPP1_CD44",1.363,0.74644030668127,2
7,23,"HBEGF_CD44",3,23,"HBEGF_CD44",0.571,0.312705366922234,2
7,23,"HBEGF_CD44",6,23,"HBEGF_CD44",0.33,0.180722891566265,2
7,23,"HBEGF_CD44",11,23,"HBEGF_CD44",0.423,0.231653888280394,2
7,23,"HBEGF_CD44",14,23,"HBEGF_CD44",0.37,0.2026286966046,2
7,23,"HBEGF_CD44",15,23,"HBEGF_CD44",0.72,0.394304490690033,2
7,23,"HBEGF_CD44",16,23,"HBEGF_CD44",0.42,0.230010952902519,2
7,23,"HBEGF_CD44",17,23,"HBEGF_CD44",0.795,0.435377875136911,2
7,16,"aVb6 complex_TGFB1",3,16,"aVb6 complex_TGFB1",0.447,0.244797371303395,2
7,16,"aVb6 complex_TGFB1",5,16,"aVb6 complex_TGFB1",0.56,0.306681270536692,2
7,16,"aVb6 complex_TGFB1",11,16,"aVb6 complex_TGFB1",0.31,0.169769989047097,2
7,16,"aVb6 complex_TGFB1",14,16,"aVb6 complex_TGFB1",0.376,0.20591456736035,2
7,16,"aVb6 complex_TGFB1",16,16,"aVb6 complex_TGFB1",0.728,0.3986856516977,2
7,16,"aVb6 complex_TGFB1",17,16,"aVb6 complex_TGFB1",0.455,0.249178532311062,2
7,17,"CD74_MIF",1,17,"CD74_MIF",1.121,0.613910186199343,2
7,17,"CD74_MIF",4,17,"CD74_MIF",1.225,0.670865279299014,2
7,17,"CD74_MIF",10,17,"CD74_MIF",0.989,0.541621029572837,2
7,17,"CD74_MIF",12,17,"CD74_MIF",1.075,0.588718510405257,2
8,1,"GAS6_MERTK",4,1,"GAS6_MERTK",0.426,0.202375296912114,2
8,69,"LIFR_OSM",15,69,"LIFR_OSM",0.393,0.186698337292162,2
8,70,"LIFR_LIF",6,70,"LIFR_LIF",0.208,0.098812351543943,2
8,114,"FGF9_FGFR2",7,114,"FGF9_FGFR2",0.306,0.145368171021378,2
8,114,"FGF9_FGFR2",14,114,"FGF9_FGFR2",0.195,0.0926365795724466,2
8,61,"aVb5 complex_FN1",17,61,"aVb5 complex_FN1",0.207,0.0983372921615202,2
8,2,"IGF1R_IGF1",6,2,"IGF1R_IGF1",0.457,0.217102137767221,2
8,119,"FGF9_FGFR3",13,119,"FGF9_FGFR3",0.179,0.0850356294536817,2
8,119,"FGF9_FGFR3",14,119,"FGF9_FGFR3",0.239,0.11353919239905,2
8,119,"FGF9_FGFR3",17,119,"FGF9_FGFR3",0.241,0.114489311163895,2
8,19,"HBEGF_ERBB4",8,19,"HBEGF_ERBB4",0.344,0.163420427553444,2
8,126,"EGF_EGFR",1,126,"EGF_EGFR",2.105,1,2
8,126,"EGF_EGFR",2,126,"EGF_EGFR",2.095,0.995249406175772,2
8,126,"EGF_EGFR",4,126,"EGF_EGFR",2.092,0.993824228028504,2
8,126,"EGF_EGFR",7,126,"EGF_EGFR",2.097,0.996199524940618,2
8,126,"EGF_EGFR",13,126,"EGF_EGFR",2.068,0.982422802850356,2
8,3,"aVb6 complex_TNC",6,3,"aVb6 complex_TNC",0.291,0.138242280285036,2
8,20,"FGF1_FGFR1",7,20,"FGF1_FGFR1",0.246,0.116864608076009,2
8,20,"FGF1_FGFR1",9,20,"FGF1_FGFR1",0.234,0.111163895486936,2
8,20,"FGF1_FGFR1",12,20,"FGF1_FGFR1",0.203,0.096437054631829,2
8,4,"GRN_TNFRSF1A",14,4,"GRN_TNFRSF1A",0.181,0.0859857482185273,2
8,5,"FGF1_FGFR2",7,5,"FGF1_FGFR2",0.33,0.156769596199525,2
8,5,"FGF1_FGFR2",14,5,"FGF1_FGFR2",0.219,0.104038004750594,2
8,6,"FGF1_FGFR3",13,6,"FGF1_FGFR3",0.203,0.096437054631829,2
8,6,"FGF1_FGFR3",14,6,"FGF1_FGFR3",0.263,0.124940617577197,2
